name,url,uploads,subsribers,views,country,channeltype,facebooklink,twitterlink
NickiMinajAtVEVO,https://socialblade.com/youtube/user/nickiminajatvevo,63.0,13465944.0,6012417278.0,US,music,https://youtube.com/channel/UCaum3Yzdl3TbBt8YUeUGZLQ,https://twitter.com//nickiminaj
EeOneGuy,https://socialblade.com/youtube/s/?q=UCrFiA0hztL9e8zTi_qBuW4w,315.0,13453400.0,3193508670.0,US,entertainment,https://youtube.com/channel/UCrFiA0hztL9e8zTi_qBuW4w,https://twitter.com/eeoneguy
W2S,https://socialblade.com/youtube/s/?q=UCjtLOfx1yt1NlnFIDyAX3Ug,644.0,13494511.0,3755155732.0,GB,games,https://youtube.com/channel/UCjtLOfx1yt1NlnFIDyAX3Ug,https://twitter.com/wroetoshaw
Unbox Therapy,https://socialblade.com/youtube/c/un-boxtherapy,1481.0,13372959.0,2497091201.0,CA,tech,https://youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw,https://twitter.com/#!/unboxtherapy
Jimmy Kimmel Live,https://socialblade.com/youtube/c/jimmykimmellive,3689.0,13387707.0,6867494885.0,US,entertainment,https://youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw,https://twitter.com/jimmykimmellive
Juan De Dios Pantoja,https://socialblade.com/youtube/c/juandediospantoja,134.0,13417400.0,898749874.0,MX,entertainment,https://youtube.com/channel/UCzoUWqjCbcfWFdOMvoep8FA,https://twitter.com/juandedios_p
Clash of Clans,https://socialblade.com/youtube/s/?q=UCD1Em4q90ZUK2R5HKesszJg,273.0,13291510.0,1608727125.0,US,games,https://youtube.com/channel/UCD1Em4q90ZUK2R5HKesszJg,https://twitter.com/clashofclans
Willyrex,https://socialblade.com/youtube/user/willyrex,4496.0,13287951.0,3141883377.0,ES,games,https://youtube.com/channel/UC8rNKrqBxJqL9izOOMxBJtw,https://twitter.com/willyrexyt
BANGTANTV,https://socialblade.com/youtube/user/bangtantv,895.0,13346465.0,1917784679.0,KR,music,https://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ,https://twitter.com/bts_twt
Brave Wilderness,https://socialblade.com/youtube/c/bravewilderness,470.0,13347983.0,2391832044.0,US,animals,https://youtube.com/channel/UC6E2mP01ZLH_kbAyeazCNdg,https://twitter.com/coyotepeterson
Cia. Daniel Saboya,https://socialblade.com/youtube/user/danielsaboya,750.0,13074981.0,3699843849.0,BR,music,https://youtube.com/channel/UCEUf_uUDUfJJ3XfgwOxm-0A,https://twitter.com/dansaboya
SSSniperWolf,https://socialblade.com/youtube/c/sssniperwolf,2016.0,13109593.0,2943999040.0,US,people,https://youtube.com/channel/UCpB959t8iPrxQWj7G6n0ctQ,https://twitter.com/sssniperwolf
Movieclips Trailers,https://socialblade.com/youtube/s/?q=UCi8e0iOVk1fEOogdfu4YgfA,7659.0,12957933.0,10056392780.0,US,film,https://youtube.com/channel/UCi8e0iOVk1fEOogdfu4YgfA,https://twitter.com/movieclips
Lil pump,https://socialblade.com/youtube/c/lilpump,25.0,12947523.0,2298945938.0,,music,https://youtube.com/channel/UC6pjHMC4QXMi4llCCjtDXWg,https://twitter.com/lilpump
CalvinHarrisVEVO,https://socialblade.com/youtube/user/calvinharrisvevo,113.0,12765996.0,9939226682.0,US,music,https://youtube.com/channel/UCaHNFIob5Ixv74f5on3lvIw,https://twitter.com/calvinharris
Lucas and Marcus,https://socialblade.com/youtube/c/lucasandmarcus,377.0,12793309.0,2894799838.0,,entertainment,https://youtube.com/channel/UCwD4x63A9KC7Si2RuSfg-SA,https://twitter.com/dobremarcus
ChrisBrownVEVO,https://socialblade.com/youtube/user/chrisbrownvevo,188.0,12683533.0,7495050400.0,US,music,https://youtube.com/channel/UCm1dsgJNnhaLkY3uAdqN4mA,https://twitter.com/chrisbrown
Lele Pons,"https://socialblade.com/youtube/c/lele,pons",99.0,12699759.0,2183900699.0,US,comedy,https://youtube.com/channel/UCi9cDo6239RAzPpBZO9y5SA,https://twitter.com/lelepons
Shemaroo,https://socialblade.com/youtube/c/shemaroo,6492.0,12675233.0,5757993104.0,IN,entertainment,https://youtube.com/channel/UCF1JIbMUs6uqoZEY1Haw0GQ,https://twitter.com/shemarooent
LooLoo Kids - Nursery Rhymes and Children's Songs,https://socialblade.com/youtube/s/?q=UC4NALVCmcmL5ntpV0thoH6w,563.0,12618600.0,5095040014.0,US,music,https://youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w,https://twitter.com/loolookids
one31,https://socialblade.com/youtube/c/gmmonetvofficial,46409.0,12621674.0,8646825112.0,TH,entertainment,https://youtube.com/channel/UC8f7MkX4MFOOJ2SerXLInCA,https://twitter.com/onehdthailand?lang=en
